Country,Company Name,Sector,Product Categories,Phone,Email,Address,Certifications,Production Capacity,Other
Qatar,QATAR STEEL INDUSTRIES FACTORY,Steel products,Steel pipes, tubes, corrugated sheets, insulated panels, angles, beams, channels, flats,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,GULF CRAFTS,Manufacturing,Bespoke design and manufacturing,N/A,N/A,Doha,N/A,N/A,N/A
Qatar,Qatari German For Medical Devices Company,Medical devices,Single-use syringes, hypodermic needles, intravenous cannulas, re-use prevention syringes, insulin syringes,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,RAYYAN MINERAL WATER CO.,Beverages,Mineral water,N/A,N/A,60 kms from Doha,N/A,N/A
Qatar,QMEDIA SIGNAGE,Signage,Traffic, industrial, building name, indoor, way finding signs,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,JERSEY GLASS,Glass processing,Glass processing,N/A,N/A,New Industrial Area,N/A,N/A,N/A
Qatar,MODERN BUILDING ACCESSORIES FACTORY,Building materials,Plastic items for building,N/A,N/A,New Industrial Area, Doha,N/A,N/A,N/A
Qatar,AL BAYADAR PACK-QATAR,Packaging,Food packaging solutions,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,DOHA EXTRACO,Construction materials,GRC, GRP, UHPC, GRG, EIFS,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,WEST BAY ICE AND WATER FACTORY,Beverages,Ice cubes, bottled water,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,GROWTECH TRADING & INDUSTRIAL GROUP CO.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,QATAR GERMAN GASKET FACTORY (Q-GER),Manufacturing,Metallic and non-metallic gaskets,N/A,N/A,New Industrial Area, Doha,N/A,N/A
Qatar,QATAR TECHNICAL STEEL FABRICATION CO.,Metal fabrication,Steel fabrication, industrial refrigeration, machining,N/A,N/A,Street 24, Zone 81, New Industrial Area,N/A,N/A
Qatar,QATAR NATIONAL ALUMINIUM PANEL CO.,Metal products,Aluminium composite panels, coated aluminium coils,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,METALS FORMING SUPPORT FACTORYS,Construction,Construction solutions,N/A,N/A,New Industrial Area Pink Zone,N/A,N/A,N/A
Qatar,THE CONFIDENCE INDUSTRIAL GASES PLANT CO,Gases,Industrial, medical, specialty gases,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,DELTA CORPORATION,Oil and gas,Wellheads, X-Mass tree equipment, valves, actuators, flow control products,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,HALUL FOR BOAT MANUFACTURING,Manufacturing,Fiber glass boats, yachts, coast guard boats,N/A,N/A,New Industrial Area, Doha,N/A,N/A
Qatar,AL SADA FACTORY FOR PLASTIC PIPES,Plastics,PPR pipes and fittings,N/A,N/A,Industrial Area, Doha,N/A,N/A,N/A
Qatar,AL SULAITEEN AGRICULTURE AND INDUSTRIAL COMPLEX CO,Agriculture,Flowers, fruits, vegetables, animal products,N/A,N/A,40 hectares farms,N/A,N/A
Qatar,ELITE PAPER RECYCLING,Recycling,Paper recycling,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,QATAR MEAT PRODUCTION,Food processing,Meat processing,N/A,N/A,6,000 sqm facility,N/A,N/A
Qatar,DOHA PRECAST FACTORY,Construction materials,Reinforced concrete pipes, precast manholes, fittings,N/A,N/A,Messaieed Industrial City,N/A,N/A
Qatar,BRIGHT FUTURE TIRE RECYCLING COMPANY,Recycling,Reclaimed rubber from tyres,N/A,N/A,Umsaeed industrial area,N/A,N/A
Qatar,Asima Plastic Factory,Packaging,Packaging,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,SIGMA METAL INDUSTRIES,Metal products,Traffic signs, directional signs, gantries, cantilevers, variable message signs, controllers cabinets, steel structures,ISO 9001:2015, ISO 14001:2018,N/A,N/A,N/A,N/A
Qatar,ALUMINUM GULF RAY (GULF RAY ALUMINUM AND GLASS),Metal products,Metal cladding, facades, doors, windows, aluminum products,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,ITAG INTERNATIONAL,Oilfield equipment,Oilfield equipment,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,NATIONAL FOOD COMPANY W.L.L,Food processing,Processed dates,N/A,N/A,Doha,N/A,N/A
Qatar,Al crystal food oil factory,Food processing,Edible oil,N/A,N/A,New Industrial Area, Doha,N/A,N/A
Qatar,ALBIDDA INDUSTRIES AND SERVICES,Electrical,Switchboard enclosures, assembly,N/A,N/A,N/A,N/A,N/A,N/A
Qatar,AL NAQEEB PLASTIC FACTORY,Plastics,Polypropylene woven bags and sacks,ISO 9001:2015, ISO 22000:2018, HACCP,N/A,N/A,N/A,N/A
Qatar,AL SADA FOOD INDUSTRY,Food industry,Factory sale, company not operational,N/A,N/A,Street 31, Zone 81, Small & Medium Industries Area,N/A,N/A
Qatar,QATAR POLYMER INDUSTRIAL COMPANY,Plastics,PP woven products,HACCP, ISO 9001:2015, ISO 45001:2018,N/A,N/A,N/A,N/A
Oman,AL ASR ELECTRICAL & ELECTRONIC INDUSTRIES,Electrical,Electrical and electronic products,24446809,alasr@omantel.net.om,N/A,N/A,N/A,Contact: Gopalen 99358957; Fax: 24446809
Oman,Al Hassan Switchgear Manufacturing Co. LLC (AHSG),Electrical,Switchgear,24591283,baqer.j@al-hassan.com,N/A,N/A,N/A,Contact: Bqer 95334775; Fax: 24596899
Oman,AL HASSSAN POWER INDUSTRIES,Electrical,Power products,24591283,baqer.j@al-hassan.com,N/A,N/A,N/A,Contact: Bqer 95334775; Fax: 24596899
Oman,AL JIZZI TRANSFORMERS & SWITCHGEAR CO.LLC,Electrical,Transformers and switchgear,24451427,ajtsoman@omantel.net.om,N/A,N/A,N/A,Contact: Srirram 99375340; Fax: 24456190
Oman,AL MOHSIN ELECTRICALS,Electrical,Electrical products,24701494,allmoha@omantel.net.om,N/A,N/A,N/A,Contact: Saleem 99438409; Fax: 24706049
Oman,AL SAQLAWI EST.,N/A,N/A,24813314,bisan80@omantel.net.om,N/A,N/A,N/A,Contact: Abdullah saqlawi 99383822; Fax: 24810344
Oman,AL TASNEEM ELECTRICAL CONT.,Electrical,Electrical contracting,24501017,N/A,N/A,N/A,N/A,Contact: Moosa Tubaila 99366083; Fax: 24501018
Oman,ELECTRO MECHANICAL SERVICES LLC,Electrical,Electro mechanical,24596686,suresh@emsswitchgear.com,N/A,N/A,N/A,Contact: Suresh 99365503; Fax: 24595585
Oman,JYOTI SOHAR SWITCHGEAR,Electrical,Switchgear,26751197,jyotijss@omantel.net.om,N/A,N/A,N/A,Contact: Prabhat sherma 99445474; Fax: 26750286
Oman,MAJAN SWITCHGEAR COMPANY,Electrical,Switchgear,24504235,majanmct@omantel.net.om,N/A,N/A,N/A,Contact: T.Thangamani 99226968; Fax: 24502549
Oman,NATIONAL ELECTRICAL INDUSTRIES,Electrical,Electrical products,24453880,sudarsan@neioman.com,N/A,N/A,N/A,Contact: Sudarsan 95210070; Fax: 24453721
Oman,NATIONAL PLASTIC FACTORY,Plastics,Plastic products,24811689,info@nationalplasticoman.com,N/A,N/A,N/A,Contact: wilfard 99840233; Fax: 24810078
Oman,NATIONAL TRADING CO.,Trading,N/A,24591041,natcoed@omantel.net.om,N/A,N/A,N/A,Contact: ashok 99759012; Fax: 24591046
Oman,NUHAS OMAN LLC,Manufacturing,Cables,24449007,alokbasu@nuhasoman.com,N/A,N/A,N/A,Contact: Sunil 99372917; Fax: 24446790
Oman,OMAN CABLES INDUSTRY (O.C.I),Electrical,Cables,24446464,quadri@omancables.com,N/A,N/A,N/A,Contact: Saeed Qadiri 99349265; Fax: 24446096
Oman,Oman National Engineering & Investement Co.,Engineering,Engineering and investment,24702075,bala.v@oneic.com.om,N/A,N/A,N/A,Contact: Bala 99217652; Fax: 24797394
Oman,SHARIKAT FANNIYA OMANIA,Electrical,Electrical,24815970,sfoelect@omantel.net.om,N/A,N/A,N/A,Contact: Abijit 99363078; Fax: 248108706
Oman,URICH SWITCHGEAR MANUFACTURING CO.,Electrical,Switchgear,24815597,usg_oman@yahoo.com,N/A,N/A,N/A,Contact: Prakash 99824034; Fax: 24818350
Oman,VOLTAMP MANUFACTURING CO.,Manufacturing,N/A,24446372,aasit@voltampoman.com,N/A,N/A,N/A,Contact: Aaist Naik 99337423; Fax: 24446371
Oman,VOLTAMP TRANSFORMERS OMAN LTD.,Electrical,Transformers,24446372,aasit@voltampoman.com,N/A,N/A,N/A,Contact: Aaist Naik 99337423; Fax: 24446371
Kuwait,Ahmad Hassan Boland Sons & Partners Co.,Food and Beverages,Corn chips & snacks,(+965) 24718288 - 24739479,N/A,Sabhan – Block 1 – Street 103 – P.O. Box 20651 Safat 13067 Kuwait,N/A,N/A,Fax: (+965) 24725574
Kuwait,Al-Seedawi Sweets Factories Co.,Food and Beverages,Packed roasted nuts – Arabian sweets – Candies – Halawa tahinia – Tahina (sesame juice) – Chocolate – Wafers,(+965) 24843994 - 24841551,alsedawi@qualitynet.net,Shuwaikh Industrial Area – Block 6 – Plot 70 – P.O. Box 569 Safat 13006 Kuwait,N/A,N/A,Fax: (+965) 24847488
Kuwait,Arabian Beverage Company (ABC),Food and Beverages,Natural fruit juices – Yogurt & dairy products – Mineral water – Milk & flavored milk,(+965) 1802066 – 24736222,admin@abcjuice.com.kw,North Sabhan – Block 5 – Street 103 – P.O. Box 3022 Safat 13031 Kuwait,N/A,N/A,Fax: (+965) 24722793 – 24752881; Website: www.abcjuice.com.kw
Kuwait,Conserved Food Distributing Co (Khazan),Food and Beverages,Chilled / frozen processed meat – Chilled / frozen processed poultry – Frozen processed sea food – Other frozen processed products – Canned food – Cake & pastries,(+965) 24722135 / 6 / 7/ 8/ 9,khazan@wazzan.com,Sabhan – Block 1 – Street 1 – P.O. Box 26226 Safat 13123 Kuwait,N/A,N/A,Fax: (+965) 24722142; Website: www.mezzan.com
Kuwait,Food Industries Company (Fico),Food and Beverages,Potato chips – Corn starch snacks,(+965) 1803344 – 24742242,fico@ficofood.com,Sabhan – Block 1 – Street 11 – P.O. Box 26221 Safat 13123 Kuwait,N/A,N/A,Fax: (+965) 24730141; Website: www.ficofood.com
Kuwait,Gulf Pastries Manufacturing Company,Food and Beverages,Cake – Pastries,(+965) 24745455 – 24745400,sara@wazzan.com,Sabhan – Block 10 – Street 1 – P.O. Box 3531 Safat 13036 Kuwait,N/A,N/A,Fax: (+965) 24748510; Website: www.mezzan.com
Kuwait,Jercy Foodstuff Inc.,Food and Beverages,Potato chips & snacks – Popcorn – Jam – Honey – Salt – Black / white pepper – White / brown sugar,(+965) 24716402,jercyfoodstuff@hotmail.com,Sabhan – Block 1 – Street 13 – Plot 145 – P.O. Box 2508 Jahra 1027 Kuwait,N/A,N/A,Fax: (+965) 24713590; Website: www.jercycanary.com
Kuwait,Kuwait Biscuit & Food Products Manufacturing Co.,Food and Beverages,Chips & snacks – Biscuits – Wafers – Sugar cubes & Icing sugar,(+965) 24745400 – 24745455,kbc@wazzan.com,Sabhan – Block 1 – Street 11 – P.O. Box 335 Hawali 32004,N/A,N/A,Fax: (+965) 24748510; Website: www.mezzan.com
Kuwait,Kuwait Flour Mills & Bakeries Company,Food and Beverages,Wheat flour Biscuits – Macaroni – Vegetable oil & ghee – Arabic / European bread – Animal feed,(+965) 24841866,sales@flour-mills.com.kw,Shuwaikh – Jamal Abdul Naser Street – P.O. Box 681 Safat 13007 Kuwait,N/A,N/A,Fax: (+965) 24841590; Website: www.kuwaitflourmills.com
Kuwait,Kuwait Food Company (Americana - Commercial Trading & Bakeries Division),Food and Beverages,Croissant / Mini Croissant – Mini Pate – Rusk – Bread Crumbs – Cold Sandwiches – Frozen Pastries (Puff Pastry, Sambousa) – Salads,(+965) 24735476 – 24735661,trade@americanaf.com,Sabhan – Block 1 – P.O. Box 5078 Safat 13051 Kuwait,N/A,N/A,Fax: (+965) 24767232; Website: www.Americana-group.net
Kuwait,Kuwait Protein & Fat Production Company,Food and Beverages,Animal feed (meat & bone powder) – Inedible tallow,(+965) 24672712 – 24678024,kpfpco@yahoo.com,Al-Mirqab – Abdullah Mubarak Street – Al-Niffisi Building – P.O. Box 22967 Safat 12092 Kuwait,N/A,N/A,Fax: (+965) 24678054
Kuwait,Kuwait United Poultry Company,Food and Beverages,Fresh eggs – Columbus eggs – Fresh chicken – Frozen chicken,(+965) 24810033,info@kupco.net,Shuwaikh – Jamal Abdul Naser Street – P.O. Box 1236 Safat 13013 Kuwait,N/A,N/A,Fax: (+965) 24818864; Website: www.kupco.net
Kuwait,Livestock Transport & Trading Co. - Meat Factory,Food and Beverages,Frozen products (mutton, beef, poultry) – Cooked products (mutton, beef, poultry) – Chilled New Zealand & Australian mutton carcasses – Frozen New Zealand mutton cuts – Chilled beef & veal cuts,(+965) 22420669 – 24676101,sales@kltt.com.kw,Sulaibiya Agricultural Area – Block 12 – P.O. Box 23727 Safat 13098 Kuwait,N/A,N/A,Fax: (+965) 24676113; Website: www.kltt.com.kw
Kuwait,Mickey Snax (Light Food Company),Food and Beverages,Natural potato chips – Snacks (processed potato),(+965) 24711531 – 24711534,contact@mickeysnax.com,Sabhan – Block 10 – Plot 58 – P.O. Box 26704 Safat 13129,N/A,N/A,Fax: (+965) 24711523
Kuwait,National Canned Food Product & Trade Co (Dania),Food and Beverages,Canned meat – Canned vegetables and legumes – Vinegar – Mineral water,(+965) 24748866,national@wazzan.com,Sabhan – Block 1 – Street 3 – P.O. Box 25452 Safat 13115 Kuwait,N/A,N/A,Fax: (+965) 24722142; Website: www.daniah.com
Kuwait,National Fishing Company,Food and Beverages,Fresh / frozen fish – Fresh / frozen shrimps – Processed seafood,(+965) 1807766 – 24827999,nfcinfo@nfcq8.com,Shuwaikh Industrial Area – Block A – Plot 89 – P.O. Box 27511 Safat 13136 Kuwait,N/A,N/A,Fax: (+965) 24847181; Website: www.nfcq8.com
Kuwait,Petra Trading & Manufacturing Food Stuff,Food and Beverages,Dairy products – Juices – Cakes,(+965) 24733362 – 1802280,Petra@qualitynet.net,Sabhan – Block 7 – Street 103 – P.O. Box 3331 Safat 13034 Kuwait,N/A,N/A,Fax: (+965) 24745978; Website: www.Petrafood.com
Kuwait,Refreshment Trading Company,Food and Beverages,Soft drinks – Mineral water – Juices,(+965) 24746888,rtccoke@kems.net,Sabhan – Block 11 – Street 1 – P.O. Box 1044 Safat 13011 Kuwait,N/A,N/A,Fax: (+965) 24741688
Kuwait,Shuaiba Animal Feed Factory,Food and Beverages,All types of animal feed (both pellets and powder),(+965) 23260831,saffkwt@hotmail.com,Shuaiba Industrial Area – Block 5 – P.O. Box 2145 Safat 13075 Kuwait,N/A,N/A,Fax: (+965) 23260837 – 22446503; Website: www.mykitco.com
Kuwait,The Kuwait Indo Trading Company ltd,Food and Beverages,Potato chips & snacks – Corn starch snacks,(+965) 1802345,kitco@wazaan.com,Sabhan – Block 1 – Street 11 – P.O. Box 2135 Safat 13022 Kuwait,N/A,N/A,Fax: (+965) 24764889; Website: www.mykitco.com
Kuwait,The Mediator for Industries & Com. Co (Juice Factory),Food and Beverages,Juices,(+965) 24734336 – 24739670,plasticc@hotmail.com,Sabhan – Block 1 – Street 12 – P.O. Box 3802 Safat 13039 Kuwait,N/A,N/A,Fax: (+965) 24768175
Kuwait,Al-Baghli Sponge Manufacturing Company,Textiles, Clothing & Leather Industries,Pillow cases & sheet sets,(+965) 24761444,sponge@albaghli.com,Sabhan – Block 2 – Street 101 – P.O. Box 29920 Safat 13160 Kuwait,N/A,N/A,Fax: (+965) 24762999; Website: www.albaghli-sponge.net
Kuwait,Burgan Shoes Manufacturing Company,Textiles, Clothing & Leather Industries,Military shoes – Safety shoes – Casual shoes,(+965) 24733228 – 24731589,q8shoes@qualitynet.net,Sabhan – Block 2 – Street 102 – P.O. Box 3063 Safat 13031 Kuwait,N/A,N/A,Fax: (+965) 24714062
Kuwait,Carpets Industry Company K.S.C.,Textiles, Clothing & Leather Industries,100 % Polyester carpets cut piles - straight and frieze yarn - 100 % PP BCF loop carpets,(+965) 24719000,info@carpetskuwait.com,Northern Sabhan – Block 6 – Street 104 - P.O. Box 929 Hawalli 32010 Kuwait,N/A,N/A,Fax: (+965) 24763669; Website: www.carpetskuwait.com
Kuwait,Gulf Leather Industries,Textiles, Clothing & Leather Industries,Shoes for men and women – Army shoes & safety shoes – Leather products (bags, wallets, belts),(+965) 24739766,gsf_kwt@yahoo.com,Sabhan – Block 6 – Street 62 – P.O. Box 2336 Safat 13024 Kuwait,N/A,N/A,Fax: (+965) 24742046
Kuwait,Gulftex Industries Co.,Textiles, Clothing & Leather Industries,Pillows & quilts - Cushions - Polyester fiber yarns,(+965) 24720874 – 24758892/ 3/4,info@gulftexindustries.com,Sabhan – Block 2 – Street 23 – P.O. Box 26532 Safat 13126 Kuwait,N/A,N/A,Fax: (+965) 24720869 – 24758891; Website: www.gulftexindustries.com
Kuwait,Kuwait Cotton Products Co. For Trade & Industry,Textiles, Clothing & Leather Industries,Pillows – Bed sheets & quilts,(+965) 24742287 – 24742288,kcpckt@kcpckt.com,Sabhan – Block 1 – Street 11 – P.O. Box 24301 Safat 13104 Kuwait,N/A,N/A,Fax: (+965) 24742513; Website: www.kcpckt.com
Kuwait,National Tannery Company,Textiles, Clothing & Leather Industries,Arabian / Australian skin – Arabian / Australian wool,(+965) 24676147 – 24676148,ntc@qualitynet.net,Sulaibiya Industrial Area – Block 1 – Street 3 – P.O. Box 1048 Safat 13011 Kuwait,N/A,N/A,Fax: (+965) 24679777
Kuwait,National Textile Company,Textiles, Clothing & Leather Industries,Towels – Polyester / cotton sheets – Table linen – Polyester Pillows – Comforters – Cotton products (Pilgrimage towels, t-shirts, ghutras),(+965) 24763311 – 24714347,alrabea@qualitynet.net,Sabhan – Block 2 – Street 104 – P.O. Box 25186 Safat 13112 Kuwait,N/A,N/A,Fax: (+965) 24761122; Website: www.ntckuwait.com
Kuwait,Al-Jeel Reprographic Industries,Paper & Wood Products,Engineering Papers – Thermal rolls,(+965) 24712918 – 24769875,Kuriakose@al-alfin.com,Sabhan – Block 2 – Plot 200 – P.O. Box 25726 Safat 13118 Kuwait,N/A,N/A,Fax: (+965) 24769876
Kuwait,Alrawdah Paper & Nylon Products Plate Carton Company,Paper & Wood Products,Paper bags – Paper rolls – Paper plates – Carton products,(+965) 24710429 – 24832901 – 24740162,alrawdah_RPPC@hotmail.com,Sabhan – Block 2 – Street 21 – P.O. Box 33065 Safat 73451 Kuwait,N/A,N/A,Fax: (+965) 24740194 – 24848301; Website: www.alrawdah-co.com
Kuwait,Caesar Pac Carton & Paper Products Company,Paper & Wood Products,Corrugated carton & paper products,(+965) 24610077,caesarpac@caesarsgroup.net,Kuwait Free Trade Zone - Block 2 B - Plot 5 - P.O. Box 5592 Safat 13056 Kuwait,N/A,N/A,Fax: (+965) 24610177; Website: www.caesarsgroup.net
Kuwait,Hayakel Steel Industries Co.,Basic Metal Industries,Tankers (water, fuel, sewage) –Trailers & Semi Trailers – Garbage Compactors – Security Products,(+965) 1844888 – 24720088,info@hayakel.com,Sabhan – Block 3 –P.O. Box 145 Safat 13002 Kuwait,N/A,N/A,Fax: (+965) 24749759; Website: www.hayakel.com
Kuwait,Integral Services Co.,Basic Metal Industries,Heat exchangers,(+965) 23262706 / 7,iscocrop@isco.com.kw,Western Shuaiba – Block 6 – Plot 80 - P.O. Box 3683 Salmiya 22037 Kuwait,N/A,N/A,Fax: (+965) 23262717 - 23263193; Website: www.isco.com.kw
Kuwait,Khalid Ali Al-Kharafi & Bros. Co. (Kharafi Steel),Basic Metal Industries,Structural steel – Pre-engineered steel buildings – Space frames – Pipes – Steel tanks – Steel doors (plain and fire rated) – Porta cabins – Aluminum composite panels – Galvanized products,(+965) 24845100 - 24873400,kaksteel@qulaitynet.net,Shuwaikh Industrial Area – Block B – Plot 100, 101, - P.O. Box 2886 Safat 13029, Kuwait,N/A,N/A,Fax: (+965) 24835501 - 24873500; Website: www.kharafisteel.net/index.htm
Kuwait,Kuwait Aluminum & Brass Industries Co.,Basic Metal Industries,Aluminum housewares – Iron gas burners & other products made of iron,(+965) 24715884 – 24814419,info@kabi-kw.com,Sabhan – Block 9 – Street 102 – P.O. Box 3937 Safat 13040 Kuwait,N/A,N/A,Fax: (+965) 24840202; Website: www.kabi-kw.com
Kuwait,Kuwait Aluminum Extrusion Company,Basic Metal Industries,Aluminum Extrusion – Anodizing,(+965) 24738509 – 24745434,extrusion@kalexco.com,Sabhan – Block 8 – Street 84 – Plot 208 –P.O. Box 24501 Safat 13106 Kuwait,N/A,N/A,Fax: (+965) 24710694; Website: www.kalexco.com
Kuwait,Kuwait Foundry Company,Basic Metal Industries,Manhole covers - Drainage pipes & fittings - Other castings,(+965) 24766691/2/3/4,srp737@hotmail.com,Ray Industrial Area – Block 1 – Street 10 – P.O. Box 1393 Safat 13014 Kuwait,N/A,N/A,Fax: (+965) 24763033
Kuwait,Kuwait Pipe Industries and Oil Services Company,Basic Metal Industries,Spirally welded carbon steel pipes,(+965) 24674843 – 24675622,kpios@kpios.com,Sulaibiya Industrial Area – Block 1 – Street 4 – P.O. Box 3416 Safat 13035 Kuwait,N/A,N/A,Fax: (+965) 24675897; Website: www.kpios.com
Kuwait,Metal Products Accessories Co.,Basic Metal Industries,Beach chairs & umbrellas – Steel furniture (ladders - ironing tables - cloth dryers – cloth hangers – bases for gas cylinders and fridges),(+965) 24755292,metalproductsm@yahoo.com,Sabhan – Block 2 – Street 102 - Plot 73 - P.O. Box 99 Shamiya 71661, Kuwait,N/A,N/A,Fax: (+965) 24755191; Website: www.mpcoj.com
Kuwait,Metal Products Company,Basic Metal Industries,Galvanized Iron Profiles – Aluminum Ceiling of different Sizes,(+965) 24731287 – 24737916,mpc@kems.net,Sabhan – Block 6 – Street 62 - P.O. Box 3973 Safat 13040 Kuwait,N/A,N/A,Fax: (+965) 24737932; Website: www.mpckw.com
Kuwait,New Exhibition Company,Basic Metal Industries,Electric Water Heaters – Water Cooling & Heating Equipments – Food Heating Equipment,(+965) 24822084 – 24716683,newexhib@newexhib.com,Shuwaikh – Al-Jawazat Street– P.O. Box 2383 Safat 13024 Kuwait,N/A,N/A,Fax: (+965) 24813083 – 24766993; Website: www.newexhib.com
Kuwait,Refrigeration Industries and Storage Company,Basic Metal Industries,Central & Split Air-conditioning units,(+965) 1833380 - 24679732,risco@ricoolex.com,Sulaibiya – Block 1 – P.O. Box 22261 Safat 13083 Kuwait,N/A,N/A,Fax: (+965) 24673562; Website: www.riscoolex.com
