Unnamed: 0,Factory Name (En),Factory Name (Ar),Phone Number,Factory Email,Emirate, Products,Unnamed: 7,Unnamed: 8,Unnamed: 9,Activities,Unnamed: 11,Unnamed: 12
, EMIRATES INTERNATIONAL BLOCK & INTERLOCK FACTORY LLC OPC,مصنع الامارات الدولي للطابوق و الانترلوك ش.ش.و ذ.م.م,072447555,ebf.rak@hotmail.com,Ras Al Khaimah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,68010090,- - - Of other natural stones,,- - - من أحجار طبيعية أخر ,2395001,صناعة أصناف مسبقة الصب للبناء,Construction Precast Articles Manufacturing
,,,,,,68030010,  - - - Tiles and blocks for buildings or road paving,,- - - بلاط ترابيع وقراميد وكتل للبناء أو لرصف الطرق ,2391002,صناعة طابوق وبلاطات السيراميك المقاوم للحرارة وما يماثلها,"Refractory Ceramic Bricks, Blocks and Tiles and Smilar Manufacturing"
,,,,,,68101100,- - Building blocks and bricks,,- - كتل وأجر للبناء ,2395005,صناعة مكونات إنشائية مسبقة الصنع,Prefabricated Structural Components Manufacturing
, ENERGY IND COMPANY  LLC ,شركة انرجي للصناعة (ذ.م.م.),065343488,aliab@energyind.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,84149000, - Parts,,- أجزاء ,2750012,صناعة أجهزة تجديد هواء واغطية التهوية الكهربائية المنزلية,Ventilating or Recycling Hoods Electric Domestic Appliances Manufacturing
,,,,,,84148000, - Other,,- غيرها ,,,
, EXCEL PAINTS FACTORY L.L.CL ,اكسل للدهانات,043472827,emad.alhuneidi@nationalpaints.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,32100090,  - - - Other,, - - - غيرها ,2022001,صناعة الدهانات والملمعات,Paints and Varnishes Manufacturing
,,,,,,32082010,  - - - Varnish,, - - - ورنيش ,2011010,صناعة المركبات الكيماوية غير عضوية,Inorganic Chemical Compounds Manufacturing
,,,,,,32089090,  - - - Other,, - - - غيره,,,
,,,,,,38140000,"Organic composite solvents & thinners, not elsewhere specified or included; prepared paint or varnish removers.",,مذيبات ومخففات عضوية مركبة، غير مذكورة ولا داخلة في مكان آخر؛ محضرات إزالة الدهان أو الورنيش,,,
, G ZILI PLASTIC INDUSTRIES  L.L.C,جي زيلي للصناعات البلاستيكية ذ.م.م,050-2091922,INFO@GZILIPLAST.AE,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,71179010, - - - Of plastic,,- - - من بلاستيك ,2220108,صناعة الأكياس البلاسـتيكية,Plastic Bags Manufacturing
, GENERAL CERAMICS CO SHARJAH J.S.C,شركة السيراميك العامة  الشارقة ش م خ   ,065582455,gc@generalceramics.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39221000,"- Baths, shower-baths, sinks and wash-basins",,ـ مغاطس، أحواض اغتسال (دوش)، ومغاسل وأحواض غسل,2392001,صناعة التجهيزات الصحية الخزفية,Ceramic Sanitary Fixtures Manufacturing
,,,,,,69109000,- Other,,- غيرها ,,,
, GREEN FUTURE BATTERY RECYCLING L.L.C,جرين فيوتشر لمعالجة مخلفات  البطارية ش ذ م م ,050-5344653,info@greenfuture.ae,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39159000, -  Of Other Plastics,,ـ من لدائن أُخر ,2432002,سبك مسبوكات المعادن غير الحديدية,Casting of Non-Ferrous Metal Castings
,,,,,,78011000,- Refined Lead,,- رصاص نقي ,,,
,,,,,,78019100, - - Containing by weight antimony as the principal other element,,- - محتوي وزناً على عنصر الأنتيمون كعنصر رئيسي ,,,
,,,,,,78019900,- - Other,, - - غيرها ,,,
, METALLIC EQUIP CO LLC,شركة التجهيزات المعدنية ذ م م,0504577612,Com.ragai@gmail.com,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73089090,- - - Other,,- - - غيرها ,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
, MODERN CO FOR PREFABRICATION HOUSING NEWFAB LTD ,الشركة الحديثة للابنية الجاهزة (نيوفاب)(ذ.م.م.),065332129,Emailnewfab@eim.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,94060024,Prefabricated buildings designed for schools & housing of wood.,,"مباني للسكن أو للمدارس ,من خشب ",0_20220200_,صناعة الابنية الجاهزة وإجزائها,Manufacture of prefabricated buildings and their parts
, MOHAMMED DAWOUD TRADING L.L.C,محمد داود للتجارة ش.ذ.م.م,052-1992822,admin@mdgroupco.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73089090,- - - Other,,- - - غيرها ,2410904,صناعة قضبان وقطاعات مصمتة من الصلب بعمليات التصنيع على البارد,Steel Bars and Solid Sections by Cold Processes Manufacturing
,,,,,,73089000,Other,,غيرها,,,
, nestle middle east manufacturing LLC,نستله الشرق الاوسط للصناعات ش ذ.م.م,0505454088,malref333@gmail.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,21039090,- - - Other,,- - - غيرها ,1079022,صناعة الحساء والمرق,Soup Manufacturing
,,,,,,21041000,- Soups and broths and preparations therefor,,- حساء ومرق ومحضرات اعدادها ,0_15490700_,تعبئة البهارات والتوابل,Filling of spices and seasonings
,,,,,,,,,,1079009,صناعة التوابل ومرق التوابل (الصلصات) والبهارات,"Spices, Sauces and Condiments Manufacturing"
, PAN GULF INTERNATIONAL METALS INDUSTRY LLC-BRANCH 1,مصنع بان جلف العالمية للمعادن ذ م م - فرع 1,052-9058664,pro@pgi.ae,Sharjah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,72015000,- Alloy pig iron; spiegeleisen ,,- حديد صب (ظهر) مخلوط وحديد صب (سبيجل) ,2432002,سبك مسبوكات المعادن غير الحديدية,Casting of Non-Ferrous Metal Castings
,,,,,,76012000,- Aluminium alloys,,- خلائط ألومنيوم ,2410103,إعادة صهر سبائك خردة الحديد أو الصلب,Iron or Steel Scrap Ingots Remelting
,,,,,,75021000,"- Nickel, not alloyed",,- نيكل غير مخلوط ,,,
, PIONEER METAL INDUSTRIES L.L.C,بيونير للصناعات المعدنية ش.ذ.م.م,056-7774125,basem.abushamleh@pioneermetals-uae.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73269060,"  - - - Fittings for electric wiring (e.g., stays, clips, brackets); suspension or connecting devices for insulator chains",,- - - لوازم الخطوط الكهربائية (مثل مجاري الأسلاك والكابلات والمساند والمشابك والحوامل) وتركيبات تعليق وتثبيت سلاسل العازلات ,2599102,صناعة الدلاء والصناديق والعلب و البراميل المعدنية,"Metal Pails, Boxes, Cans, and Drums Manufacturing"
,,,,,,73089010,   - - - Wall-mounted boxes for fire fighting equipment or fire hoses and the like,,- - - صناديق (كبائن) تثبت ضمن جدران المنشآت لإحتواء أجهزة إطفاء الحريق أو أنابيب المياه وما يماثلها ,2511017,صناعةالأبواب والنوافذ وأطرها والمصاريع المعدنية,"Metal Doors, Windows and Their Frames, Shutters and Manufact"
,,,,,,85381000,"- Boards, panels, consoles desks, cabinets and other bases for the goods of heading 85.37, not equipped with their appuratus ",,- لوحات وتابلوهات ، مناضد ، خزائن وغيرها من الحوامل للأصناف الداخلة في البند 85.37 ، غير مزودة بأجهزتها ,,,
, RAIN MASS INDUSTRIAL AND PACKING FOOD STUFF COMPANY L.L.C- FIRST BRANCH,فرع اول/ رين ماس لصناعة وتعبئة المواد الغذائية ذ.م.م,042267783,rainmass.2016@gmail.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,04012090,- - - Other ,,- - - غيرها ,1050007,صناعة الحليب المجفف والمكثف,Dried and Concentrated Milk Manufacturing
, SOBHA  FURNITURE INDUSTRIES - L.L.C - O.P.C,شوبا لصناعات الأثاث,055-9965577,deeneshkumar.n@sobhafurniture.com,Abu Dhabi,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,94039100,"Parts of furniture, n.e.s. of wood ",, أجزاء أثاث أُخر من خشب,3100002,صناعة أثاث المطابخ,Kitchen Furniture Manufacturing
,,,,,,,,,,1629913,صناعة اللوحات الخشبية,Wooden Signboards Manufacturing
, WOOD LINE DESIGN LLC,وود لاين ديزاين  ش ذ م م ,042673030,pro.woodlinedesign@gmail.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39252000,"- Doors, windows and their frames and thresholds for doors",,ـ أبواب ونوافذ وأُطرها وعتبات الأبواب,3100001,صناعة الأثاث المنزلي,House Furniture Manufacturing
,,,,,,,,,,1629911,صناعة منتجات الديكور الخشبية,Wooden Decorative Products Manufacturing
,,,,,,,,,,1622001,صناعة  الابواب والنوافذ ومصاريعها واطرها الخشبية,"Wooden Doors, Windows, Shutters and Their Frames Manufacturing"
,(EXCEL PLASTIC INDUSTRY (L.L.C,اكسل للصناعات البلاستيكية (ذ.م.م),067431148,info@excelplastics.ae,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39239000,- Other,,ـ غيرها,2220135,صناعة أصناف الإغلاق البلاستيكية,Plastic Closures Articles  Manufacturing
,,,,,,39235000,"- Stoppers, lids, caps and other closures",,ـ سدادات وأغطية وكبسولات وغيرها من أصناف الإغلاق,2220125,صناعة القوارير والعبوات البلاسـتيكية المماثلة,Plastic Bottles and  Similar Containers Manufacturing
,,,,,,39076100,-- Having a viscosity number of 78 ml/g or higher,,ـ ـ ذو رقم لزوجة يبلغ 78 مل/جرام أو أعلى,,,
,7SKY INTERNATIONAL INDUSTRIES L.L.C,سفين سكاي انترناشيونال الصناعية ذ.م.م,054-7772924,info@7skyinternational.ae,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,44125200,"Other blockboard, laminboard and battenboard, with at least one outer ply of non-coniferous wood ",,غيرها من ألواح من كتل الخشب (بلوك بورد)، خشب منضد (لامين بورد) وألواح من شرائح الخشب (باتن بورد) ، ذات طبقة خارجية واحدة على الأقل من أخشاب لا صنوبرية,1610008,نشر وسحج وتشغيل الأخشاب,"Wood Sawing, Planing and Machining"
,A A B INDUSTRIES L.L.C,ايه ايه بي للصناعات ش ذ م م,048858808,m.iqbal@aabtools.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39201000,- Of polymers of ethylene,,ـ من بوليمرات الإيثيلين,1702003,صناعة العلب والعبوات الورقية,Paper Boxes and Packages Manufacturing
,,,,,,39199000, - Other,,ـ غيرها,,,
,A A S A PLASTIC INDUSTRIES,ايه ايه اس ايه للصناعة البلاستيكية,052-3914065,Dinesh@aasaplastic.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,96039010,"  - - - Brushes of rubber or plastics, moulded in one piece, for bathroom cleaning, and brushes for domestic use",,- - - فراجين من مطاط أو من لدائن مصبوبة قطعة واحدة (لتنظيف المراحيض . . الخ) والفراجين للإستعمال المنزلي ,2220135,صناعة أصناف الإغلاق البلاستيكية,Plastic Closures Articles  Manufacturing
,A B S METALS CUTTING L.L.C,ايه بي اس لتقطيع المعادن ذ.م.م,0564718311,tonyabsmetals@gmail.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39201000,- Of polymers of ethylene,,ـ من بوليمرات الإيثيلين,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,,,,,,72085300,- - Of a thickness of 3 mm or more but less than 4.75 mm ,,"- - بأسماك 3 مم أو أكثر ولكن يقل عن 4,75 مم ",,,
,,,,,,74091100,- - In coils,,ـ ـ بشكل لفات,,,
,,,,,,74092100,- - In coils,,ـ ـ بشكل لفات,,,
,,,,,,72199000,- Other,,- غيرها ,,,
,,,,,,73061100,"- - Welded, of stainless steel",,ـ ـ ملحومة ، من صلب مقاوم للصدأ,,,
,A G ELEVATOR SYSTEMS & METAL TECHNOLOGY L.L.C,ايه جي إليفيتور سيستم اند ميتال تكنولوجي ش ذ م م,043405454,info.agelevator@al-ghurair.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,84313100," - - Of lifts, skip hoists or escalators",, - - للمصاعد أو للروافع ذات القواديس أو للسلالم الآلية ,2599102,صناعة الدلاء والصناديق والعلب و البراميل المعدنية,"Metal Pails, Boxes, Cans, and Drums Manufacturing"
,,,,,,85381000,"- Boards, panels, consoles desks, cabinets and other bases for the goods of heading 85.37, not equipped with their appuratus ",,- لوحات وتابلوهات ، مناضد ، خزائن وغيرها من الحوامل للأصناف الداخلة في البند 85.37 ، غير مزودة بأجهزتها ,2816009,صناعة المصاعد والسلالم والمشّايات المتحركة,"Lifts, Escalators and Moving Walkways Manufacturing"
,A G METAL INDUSTRIES L.L.C,ايه جي ميتال اندستريز ذ.م.م,055-9918488,raja.gopalan@al-ghurair.com,Ras Al Khaimah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73089090,- - - Other,,- - - غيرها ,2592009,الطلاء بالمواد الغير معدنية للمعادن,Non-metallic Coating of Metals
,,,,,,,,,,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,,,,,,,,,,2599305,صناعة الألواح المعدنية المعزولة,Insulated Metal Plates Manufacturing
,A I P L ADHESIVES INDUSTRY L.L.C,أي اي بي ال لصناعة المواد اللاصقة ذ.م.م,050-1001369,sushilg.thakur@gmail.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,35069100, - - Adhesives based on polymers of headings 39.01 to 39.13 or on rubber ,,ـ ـ مواد لاصقة أساسها البوليميرات الداخلة في البنود  من   39.01  الي 39.13  أو  المطاط  ,2029006,صناعة الأصماغ والمواد اللاصقة المحضَّرة,Glues and Prepared Adhesives Manufacturing
,A I P L TAPES INDUSTRY L.L.C,أي اي بي ال لصناعة الملصقات ذ.م.م,065230271,info@aipltapesuae.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39199000, - Other,,ـ غيرها,1709017,صناعة الأشرطة اللاصقة الورقية,Self Adhesive Labels Manufacturing
,,,,,,48114110,  - - - In rolls or tapes of a width not exceeding 36 cm ,,- - - بشكل أشرطة أو لفات لا يزيد عرضها عن 36 سم,,,
,,,,,,59061000, - Adhesive tape of a width not exceeding 20 cm ,, - أشرطة لاصقة بعرض لا يزيد عن 20 سم ,,,
,A K CLADDING INDUSTRIES L.L.C,ايه كى كلادنج اندستريس ش.ذ.م.م,0504584347,info@akcladding.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,76109090,- - - Other,,- - - غيرها ,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,A K N THERMAL PLASTIC UTENSILS MANUFACTURING L.L.C,أ ك ن لصناعة الاواني البلاستيكية الحرارية ذ.م.م,054-4888287,noshinatarian@gmail.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39171000, - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,ـ مصارين اصطناعية (أغلفة سجق) من بروتين مقسى أو من مواد سليلوزية,2220101,صناعة الأدوات البلاسـتيكية المستهلكة,Disposable Plastic Cutlery Manufacturing
,A L P EMIRATES PANEL MANUFACTURING (L.L.C),شركة ايه ال بي الامارات بانيل منيوفكشرنج(ذ.م.م),044542736,tek.baghudur@alpactive-international.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,39201000,- Of polymers of ethylene,,ـ من بوليمرات الإيثيلين,2399001,صناعة المواد المعدنية - اللافلزية العازلة,Mineral Insulating Materials Manufacturing
,,,,,,,,,,2029001,صناعة مواد إطفاء الحريق,Fire Extinguishing Materials Manufacturing
,A L Z PAPER INDUSTRIES L.L.C ,ايه ال زد للصناعات الورقية ذ.م.م ,055-7144830,ghalia@alzayat.net,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,44151010,  - - - Cases and boxes and small boxes for packing and transport purposes,,- - - صناديق عادية وصناديق صغيرة للتعبئة والنقل ,1702001,صناعة الورق والورق المقوى المموج,Corrugated Paper and Paperboard Manufacturing
,,,,,,,,,,1702002,صناعة الأوعية من الورق المموَّج أو الورق المقوى,Corrugated Paper or Paperboard Containers Manufacturing
,A M I COATINGS & STEEL INDUSTRIES LLC,ايه ام اي لطلاء وصناعة المعادن (ش.ذ.م.م.),048802233,info@allmetalsgroup.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73259990,- - - Other,,- - - غيرها ,2410103,إعادة صهر سبائك خردة الحديد أو الصلب,Iron or Steel Scrap Ingots Remelting
,A M I T BEVERAGES FACTORY L.L.C,مصنع ايه ام اي تي للمرطبات ش.ذ.م.م,052-1134940,amitbeveragesfactory@gmail.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,22021022,  - - - -  Orange drink (e.g. miranda),,- - - -  شراب البرتقال (كالميرندا ),1104902,صناعة مشروبات بنكهة الفواكه,Fruit Flavored Drinks Manufacturing
,,,,,,22021023,  - - - - Cola (e.g. Pepsi Cola),,  - - - -  شراب كولا (كالبيبسي كولا ),1104204,صناعة المشروبات الغازية,Soft Drinks Manufacturing
,,,,,,22021024,- - - - Energy drinks.,,- - - - مشروبات طاقة ,,,
,A P I Packaging Industries L.L.C,ايه بي اي لصناعة مواد التعبئة ش.ذ.م.م,050-6252721,info@apipacks.com,Dubai,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,40059100,"- - Plates, sheets and strip",,- - صفائح والواح واشرطة ,1701002,صناعة الورق والورق المقوى,Paper and Paperboard Manufacturing
,,,,,,48053000,- Sulphite wrapping paper,,- ورق (سلفيت) للتغليف,2220115,صناعة الرقائق البلاسـتيكية,Plastic Chips Manufacturing
,,,,,,48193000,"- Sacks and bags, having a base of a width of 40 cm or more ",, - أكياس، يبلغ عرض قاعدتها 40 سم أو أكثر ,2420010,إنتاج ورق التغليف المصنوع من الألومينيوم,Aluminium Wrapping Foil Production
,,,,,,39232100,"Sacks & bags (including cones), of polymers of ethylene for the conveyance or packing of goods.",,أكياس وحقائب (بما في ذلك المخاريط) من بوليمرات الإيثلين,,,
,A P L APOLLO TUBES COMPANY L L C,شركة أيه بي ال ابولو تيوبس المحدودة ذ م م,054-4439000,uae@aplapollo.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,73066000,"Tubes, pipes & hollow profiles, welded, of non-circular cross-section, of iron or steel, n.e.s.",, مواسير و أنابيب وأشكال خاصة (بروفيلات) مجوفة أُخر، ، ملحومة ذات مقطع غير دائري,2410108,صناعة أنابيب ومواسير ملحومة من الصلب,Steel Welded Tubes and Pipes Manufacturing
,,,,,,,,,,2511003,صناعة الأطر والهياكل المعدنية اللازمة للتشييد وأجزاء منها,Construction Metal Framework and  Skeletons and Parts thereof Manufacturing
,A T A I AIR CONDITIONERS REQUISITES MANUFACTURING LLC,اي تي اي آي لصناعة لوازم تكييف الهواء ذ.م.م,050-6413460,koshy@ataifzc.com,Ras Al Khaimah,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,84158120,  - - - Central air conditioning machines,, - - - أجهزة تكييف مركزية       ,2819204,صناعة  لوازم تكييف الهواء,Air Conditioners Requisites Manufacturing
,A TO Z STEEL CO LLC,شركة اتوزد للحديد ذ م م,0565053279,az@jafcosteel.com,Umm Al Quwain,Product HSCode,Product Description (En),,Product Description (Ar),ISIC4Code,Activity (Ar),Activity (En)
,,,,,,72149100,- - Of rectangular (other than square) cross-section,,ـ ـ ذات مقطع عرضي مستطيل (عدا المربع),2410901,صناعة قضبان وأسياخ الصلب المدلفنة على الساخن,Hot-Rolled Steel Bars and Rods Manufacturing
,,,,,,72142000,"Bars & rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling, containing indentations, ribs, grooves or other deformations produced during the rolling process.",,"قضبان وعيدان من حديد أو صلب من غير الخلائط ، غير مشغولة بأكثر من الطــرق أو التجليخ أو السحب أو البثق بالحرارة ، بما فيها القضبان والعيدان المفتولة بعد التجليخ ,محتوية على تسنينات أو تضليعات أو حزوز أو غيرها من التشكيلات الناتجة أثناء عملية التجليخ أو مفت",2410104,صناعة منتجات الصلب بالدلفنة المنبسطة على الساخن وعلى البارد,Steel Hot-Rolled and Cold-Rolled Flat-Rolled Products Manufacturing
,,,,,,72142020,Other,,غيرها,2410902,تجهيز القضبان الحديدية,Steel Bars Preparation
